,DATE,TWEET,tidy_tweets,absolute_tidy_tweets,,,,,,,
0,2020-03-01 10:23:50+00:00,"Hi Luka, happy to hear you managed to get back on. Let us know if you need help with anything else. ^Jeandor","Hi Luka, happy to hear you managed to get back on. Let us know if you need help with anything else. ^Jeandor",Hi Luka happy hear managed get back Let us know need help anything else Jeandor,,,,,,,
1,2020-03-01 10:31:53+00:00,"Hi Melanie, You can only subscribe to one of each type of ISA per tax year. Subscribing to a cash ISA may affect your eligibility to subscribe to a Help to Buy: ISA. (1/2)","Hi Melanie, You can only subscribe to one of each type of ISA per tax year. Subscribing to a cash ISA may affect your eligibility to subscribe to a Help to Buy: ISA. (1/2)",Hi Melanie You subscribe one type ISA per tax year Subscribing cash ISA may affect eligibility subscribe Help Buy ISA,,,,,,,
2,2020-03-01 10:48:29+00:00,"The ISA can be cancelled any time, If the acc is cancelled within the 1st 30 days,it won’t count towards your annual ISA allowance.If no payments are made within current tax year,the ISA will become non-continuous & require re-activation prior to subscribing in next tax year. 2/2","The ISA can be cancelled any time, If the acc is cancelled within the 1st 30 days,it won’t count towards your annual ISA allowance.If no payments are made within current tax year,the ISA will become non-continuous & require re-activation prior to subscribing in next tax year. 2/2",The ISA cancelled time If acc cancelled within st daysit wont count towards annual ISA allowanceIf payments made within current tax yearthe ISA become noncontinuous require reactivation prior subscribing next tax year,,,,,,,
3,2020-03-01 10:48:36+00:00,^Jeandor,^Jeandor,Jeandor,,,,,,,
4,2020-03-01 12:47:44+00:00,"Hi Andy. Thank you for your message. For me to look into this for you, can you provide me with your full name and postcode in a Direct Message by clicking the link below so that I can help. Just to set your expectations, although I can view your accounts, I am limited to (1/2) https://twitter.com/messages/compose?recipient_id=2922732233","Hi Andy. Thank you for your message. For me to look into this for you, can you provide me with your full name and postcode in a Direct Message by clicking the link below so that I can help. Just to set your expectations, although I can view your accounts, I am limited to (1/2)",Hi Andy Thank message For look provide full name postcode Direct Message clicking link I help Just set expectations although I view accounts I limited,,,,,,,
5,2020-03-01 12:48:15+00:00,What I can carry out. I may still require you to contact us through an alternative channel to fully resolve this. I look forward to hearing from you with your details to help you. Thank you. ^Romina (2/2) https://twitter.com/messages/compose?recipient_id=2922732233,What I can carry out. I may still require you to contact us through an alternative channel to fully resolve this. I look forward to hearing from you with your details to help you. Thank you. ^omina (2/2),What I carry I may still require contact us alternative channel fully resolve I look forward hearing details help Thank omina,,,,,,,
6,2020-03-01 13:03:16+00:00,"Hi there, the travel insurance team's number is 0800 051 7459, they would be able to guide you through on how you can claim. Let me know if you need any further assistance. ^Jeandor","Hi there, the travel insurance team's number is 0800 051 7459, they would be able to guide you through on how you can claim. Let me know if you need any further assistance. ^Jeandor",Hi travel insurance teams number would able guide claim Let know need assistance Jeandor,,,,,,,
7,2020-03-01 14:07:26+00:00,"We have a lot of features planned for the app this year, and our app developers are crazy busy with getting everything to work. There isn't anything planned for save the change at the moment, but we'll definitely keep it in mind. ^Nick","We have a lot of features planned for the app this year, and our app developers are crazy busy with getting everything to work. There isn't anything planned for save the change at the moment, but we'll definitely keep it in mind. ^Nick",We lot features planned app year app developers crazy busy getting everything work There isnt anything planned save change moment well definitely keep mind Nick,,,,,,,
8,2020-03-01 14:27:06+00:00,"Hi Mike. Completely understand that 17 working days is a very long time to open an account. We are working through a backlog at the moment, which is what is causing this delay. Please call us on 03457 404404 for an update, or visit a branch with photo ID. ^Nick","Hi Mike. Completely understand that 17 working days is a very long time to open an account. We are working through a backlog at the moment, which is what is causing this delay. Please call us on 03457 404404 for an update, or visit a branch with photo ID. ^Nick",Hi Mike Completely understand working days long time open account We working backlog moment causing delay Please call us update visit branch photo ID Nick,,,,,,,
9,2020-03-01 15:09:25+00:00,That's odd! Is the app up-to-date on your Android? ^Nick,That's odd! Is the app up-to-date on your Android? ^Nick,Thats odd Is app uptodate Android Nick,,,,,,,
