DATE,TWEET
2020-03-01 10:23:50+00:00,"Hi Luka, happy to hear you managed to get back on. Let us know if you need help with anything else. ^Jeandor"
2020-03-01 10:31:53+00:00,"Hi Melanie, You can only subscribe to one of each type of ISA per tax year. Subscribing to a cash ISA may affect your eligibility to subscribe to a Help to Buy: ISA. (1/2)"
2020-03-01 10:48:29+00:00,"The ISA can be cancelled any time, If the acc is cancelled within the 1st 30 days,it won’t count towards your annual ISA allowance.If no payments are made within current tax year,the ISA will become non-continuous & require re-activation prior to subscribing in next tax year. 2/2"
2020-03-01 10:48:36+00:00,^Jeandor
2020-03-01 12:47:44+00:00,"Hi Andy. Thank you for your message. For me to look into this for you, can you provide me with your full name and postcode in a Direct Message by clicking the link below so that I can help. Just to set your expectations, although I can view your accounts, I am limited to (1/2) https://twitter.com/messages/compose?recipient_id=2922732233"
2020-03-01 12:48:15+00:00,What I can carry out. I may still require you to contact us through an alternative channel to fully resolve this. I look forward to hearing from you with your details to help you. Thank you. ^Romina (2/2) https://twitter.com/messages/compose?recipient_id=2922732233
2020-03-01 13:03:16+00:00,"Hi there, the travel insurance team's number is 0800 051 7459, they would be able to guide you through on how you can claim. Let me know if you need any further assistance. ^Jeandor"
2020-03-01 14:07:26+00:00,"We have a lot of features planned for the app this year, and our app developers are crazy busy with getting everything to work. There isn't anything planned for save the change at the moment, but we'll definitely keep it in mind. ^Nick"
2020-03-01 14:27:06+00:00,"Hi Mike. Completely understand that 17 working days is a very long time to open an account. We are working through a backlog at the moment, which is what is causing this delay. Please call us on 03457 404404 for an update, or visit a branch with photo ID. ^Nick"
2020-03-01 15:09:25+00:00,That's odd! Is the app up-to-date on your Android? ^Nick
2020-03-01 15:12:48+00:00,"Hi Dan. The app will have a password set up, however to log on to Online Banking, you will need to generate a code from that app to log on. Have a look at the link to find out how to generate the code. ^Nick"
2020-03-01 15:36:42+00:00,"Thank you for the feedback, Janet. We are closing down a few branches this year. More information in the link ^Nick http://grp.hsbc/60121WUHg"
2020-03-01 15:38:13+00:00,"You can pass on any feedback on that form, not just for an app, Zlatka. We're sad to see you leave. Is there anything that we can do to help? ^Nick"
2020-03-01 15:50:55+00:00,"I understand, Melanie. Give our ISA Team a quick call on 02070882093, and they can explain how transferring out works. ^Nick"
2020-03-01 15:57:49+00:00,"Thanks for the feedback, Robyn. We can set your boyfriend up with Touch ID or Face ID on the app, which makes it significantly easier to log in. ^Nick"
2020-03-01 16:09:26+00:00,"That sounds dodgy, Antonia. Did they explain how or why the card was compromised? ^Nick"
2020-03-01 16:18:39+00:00,"That's odd! Have you spoken with our Mortgage Team around this, Tommy? ^Nick"
2020-03-01 16:19:41+00:00,That's odd! We don't usually ask for that permission. Are you sure you downloaded the HSBC UK app? ^Nick
2020-03-01 16:56:43+00:00,Hey there . Go onto your My Documents section and view a statement. The number should be in the top right-hand corner. ^Alison
2020-03-01 17:34:28+00:00,"Hi Claire, please pass on your full name and post code via DM, and we can see what we can do here for you thanks ^Amy"
2020-03-01 17:54:54+00:00," we can't through Twitter I'm afraid but if you give our online banking team a call, they can sort it out for you or even help you have the digital version on your phone 03456 00 22 90 open til 10pm ^Amy"
2020-03-01 17:58:36+00:00,"Hi Lesley, what login details do you need help with, so I can see what i need to guide you? ^Amy"
2020-03-01 18:05:58+00:00,"Hi Stephen. You can set that up by calling us on 03457 400004, or visiting a branch with photo ID. If you're calling, prepare yourself for some security questions. ^Nick"
2020-03-01 18:14:54+00:00,That's very weird. We're not even close to being busy today. ^Nick
2020-03-01 18:23:16+00:00,"Hi! There is another way to do this if this way does not suit him. He can upgrade to a digital version so the codes are generated though the app on his mobile phone (I personally find this much easier). If he wants to give this a try, he needs to call us on: 03457 404404. ^Alison"
2020-03-01 18:28:40+00:00,"We're not aware of any issues, Danialez. Have you tried to delete your cache and cookies on your browser? Or try a completely different one? ^Nick"
2020-03-01 18:30:56+00:00,Thanks for the information Antonia . Are you able to log onto your Mobile or Online banking? If so please do and get onto live chat or mobile chat and the agent should be able to answer your queries. We cannot look into specific translation on this platform. ^Alison
2020-03-01 18:34:21+00:00,"Most of our branches are open Monday to Friday from 8am till 5pm, with some of them opening on a Saturday as well on an appointment-only basis. ^Nick"
2020-03-01 18:35:04+00:00,"That might be why, Felix. You'll need to download and switch over to the new app. It's called 'HSBC UK Mobile Banking'. ^Nick"
2020-03-01 18:36:57+00:00,"Hi David . Is it the fast balance you are seeing? This is the only one you should see without authentication. I can suggest deleting the app and re-downloading it, or giving our Internet guys a call to see if they can get this sorted out for you on: 03456 002 290. ^Alison"
2020-03-01 18:42:14+00:00,"Hi Amber. Let's try re-installing the app, just in case there was an issue with installing it. ^NIck"
2020-03-01 19:11:15+00:00,"Ahh I am very sorry Julide! , I miss read the message and thought it was your IBAN number you were looking for . So sorry about that! IB number - also referred to as username. ^Alison"
2020-03-01 19:11:46+00:00,"You will be able to see the last 4 digits when you log on at first on the app. Or log on to the full website, select forgotten username link at the start. ^Alison"
2020-03-01 19:26:34+00:00,"Doesn't sound like you're having a great time, David. How are you trying to make the payment? Is it Online or through the app? ^Nick"
2020-03-01 19:42:38+00:00,Hi Kevin. Are you typing in the post code in capital letters? ^Nick
2020-03-01 19:42:57+00:00,"Hey Kate , sorry to hear you have not received the code. I am not aware of any issues with the system at the moment. Have you checked to see that your mobile number is up to date? ^Alison"
2020-03-01 20:02:08+00:00,That's odd! Have you called our specialists on 03456 002290? ^Nick
2020-03-01 20:08:44+00:00,"I am not sure, MIles, unfortunately we don't have a way to ask them to reply. Even though we are in the same Banking Group, we are separate banks. ^Nick"
2020-03-01 20:31:17+00:00,"When are you getting this error, Alex? ^Nick"
2020-03-01 21:16:38+00:00,"No problem, Amber. Have a great evening. ^Nick"
2020-03-01 21:29:00+00:00,"We haven't requested confidential information through Twitter. We only asked what the problem is, and maybe your full name and post code, if we need to have a look at your accounts. We have very strict processes on security which we have to abide by. Sorry for the troubles. ^Nick"
2020-03-01 21:50:45+00:00,"Hi Daniel. Our Verified by VISA process has changed. Don't worry give us a quick call before making the purchase on 0345 606 3535, and we can set you up with a 15 minute exception. ^Nick"
2020-03-02 06:49:24+00:00,Sorry that you had to wait to be helped. Hope that you have been able to get this resolved? ^Ank.
2020-03-02 07:23:13+00:00,"Sorry you are having difficulties, seems you have done some updates on your phone? Clearing cookies making sure your phone iOS version is up to date, if problem persists come join us on mobile chat. Thanks. ^Ank."
2020-03-02 08:42:21+00:00,Will do. Thank You.
2020-03-02 09:08:20+00:00,"Holborn Circus does 8AM-6PM, for example. If you'd like me to check other localities - let me know of the postcode. Thanks! ^Mill"
2020-03-02 09:21:18+00:00,Glad to see you've made it! If paying from Online - system may ask for the security code - which you can generate from the App. The App's code generator is on the App's home screen. No logging through the App needed. ^Mill
2020-03-02 09:39:03+00:00,"If you would like us to see what’s happening, click on the link to start DM. Can you then provide us with your full name on the account and postcode, and we will look into what's happening on your account. Thanks. ^Ank. https://twitter.com/messages/compose?recipient_id=2922732233"
2020-03-02 10:02:12+00:00,"Hi Stuart - we're aware of the backlog concerning Standing Orders/Direct Debits. At this stage, we're still in the timescales and payments will reach their destination during the day. Issue temporarily affects our payments from the App, this is being fixed as we speak. ^Mill"
2020-03-02 10:07:18+00:00,"Hi Chris - there's a backlog concerning payments today, we're working on a fix. This is temporarily affecting our payments from the App as well. ^Mill"
2020-03-02 10:19:16+00:00,"We can either place you in a one-off exception, or set you up for the email verification (up to 5 times for email). It's best to ring number Nick provided, so we can get it sorted! ^Mill"
2020-03-02 10:21:06+00:00,We're aware of delays with standing orders/direct debits and direct payments. We're on it and fixing it now! ^Mill
